display(log)
check(C:/Users/ngreen1/Dropbox/small-area & chlamydia/R_code/scripts/WinBUGS/temp_WinBUGS_output/model.txt)
model is syntactically correct
data(C:/Users/ngreen1/Dropbox/small-area & chlamydia/R_code/scripts/WinBUGS/temp_WinBUGS_output/data.txt)
data loaded
compile(3)
model compiled
inits(1,C:/Users/ngreen1/Dropbox/small-area & chlamydia/R_code/scripts/WinBUGS/temp_WinBUGS_output/inits1.txt)
this chain contains uninitialized variables
inits(2,C:/Users/ngreen1/Dropbox/small-area & chlamydia/R_code/scripts/WinBUGS/temp_WinBUGS_output/inits2.txt)
this chain contains uninitialized variables
inits(3,C:/Users/ngreen1/Dropbox/small-area & chlamydia/R_code/scripts/WinBUGS/temp_WinBUGS_output/inits3.txt)
this chain contains uninitialized variables
gen.inits()
initial values generated, model initialized
thin.updater(250)
update(1)
set(alpha)
set(b.male)
set(b.student)
set(b.IMD)
set(tau.age)
set(tau.ethngrp)
set(tau.ons)
set(tau.conception)
set(tau.gor)
set(tau.la)
set(tau.met)
set(v)
set(w)
set(u)
set(d)
set(h)
set(r)
set(g)
set(deviance)
dic.set()
update(400)
coda(*,C:/Users/ngreen1/Dropbox/small-area & chlamydia/R_code/scripts/WinBUGS/temp_WinBUGS_output/coda)
stats(*)

Node statistics
	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	r[44]	-0.01361	0.1132	0.003386	-0.2653	-0.007471	0.2102	2	1200
	r[45]	0.001487	0.1036	0.002548	-0.2111	-4.524E-4	0.2257	2	1200
	r[46]	-0.02274	0.1142	0.003098	-0.2784	-0.01455	0.1815	2	1200
	r[47]	0.028	0.1131	0.003064	-0.1666	0.01398	0.3249	2	1200
	r[48]	0.03864	0.1041	0.003523	-0.1338	0.02339	0.307	2	1200
	r[49]	-0.003387	0.1102	0.00346	-0.25	0.003413	0.2206	2	1200
	r[50]	-0.03405	0.1205	0.003487	-0.348	-0.01743	0.1813	2	1200
	r[51]	0.01521	0.1099	0.003542	-0.1824	0.005621	0.279	2	1200
	r[52]	0.02973	0.1113	0.003654	-0.1772	0.01356	0.3214	2	1200
	r[53]	-0.0023	0.1069	0.002595	-0.2254	-0.002663	0.2302	2	1200
	r[54]	0.01764	0.1126	0.00335	-0.2038	0.01014	0.2829	2	1200
	r[55]	0.00869	0.1049	0.002882	-0.1968	0.003072	0.2502	2	1200
	r[56]	-0.003986	0.1163	0.003594	-0.244	-3.998E-4	0.2333	2	1200
	r[57]	0.01098	0.1116	0.003569	-0.2113	0.00771	0.254	2	1200
	r[58]	-0.003377	0.1108	0.003124	-0.2463	6.47E-4	0.2224	2	1200
	r[59]	-0.0254	0.1106	0.003557	-0.2877	-0.01574	0.1714	2	1200
	r[60]	-0.002279	0.1129	0.00326	-0.2458	-9.242E-4	0.2264	2	1200
	r[61]	0.00364	0.1136	0.003649	-0.2435	0.002034	0.2495	2	1200
	r[62]	0.002534	0.1041	0.002982	-0.2037	0.004907	0.2122	2	1200
	r[63]	0.003247	0.1112	0.003105	-0.234	0.001031	0.2597	2	1200
	r[64]	-0.01619	0.09988	0.0035	-0.2602	-0.009824	0.1776	2	1200
	r[65]	0.02722	0.1037	0.002613	-0.1559	0.01397	0.2704	2	1200
