LA Name,age,WHITE,MIXED,ASIAN/ASIAN BRITISH,CHINESE,BLACK/BLACK BRITISH,OTHER
        E41000303 Hackney,46,"1,647",184,202,21,"1,061",177
        E41000303 Hackney,47,"1,476",143,201,25,935,157
        E41000303 Hackney,48,"1,350",163,214,22,"1,022",129
        E41000303 Hackney,49,"1,370",130,216,35,843,138
        E41000303 Hackney,50,"1,252",115,222,18,862,132
        E41000303 Hackney,51,"1,175",104,194,19,817,128
        E41000303 Hackney,52,"1,140",108,214,35,730,121
        E41000303 Hackney,53,"1,078",76,178,29,644,93
        E41000303 Hackney,54,"1,038",64,199,31,595,114
        E41000303 Hackney,55,"1,114",76,167,33,525,119
        E41000303 Hackney,56,"1,015",55,198,27,457,100
        E41000303 Hackney,57,969,44,175,39,405,95
        E41000303 Hackney,58,977,64,185,39,377,85
        E41000303 Hackney,59,922,41,131,9,342,71
        E41000303 Hackney,60,938,45,141,22,325,79
        E41000303 Hackney,61,966,35,133,21,310,70
        E41000303 Hackney,62,893,48,116,19,284,71
        E41000303 Hackney,63,889,40,115,22,278,61
        E41000303 Hackney,64,916,35,102,11,219,67
        E41000303 Hackney,65,686,35,95,5,260,54
        E41000303 Hackney,66,707,53,69,13,253,57
        E41000303 Hackney,67,637,33,80,14,250,49
